18,600386.SH,北巴传媒,北京巴士传媒股份有限公司,北京,北京市,2001-02-16,1999-06-18,阎广兴,"80,640.00",1435,"由广告传媒板块,包含汽车租赁、汽车销售及维修、报废车辆拆解回收等子业务的汽车服务板块,以及新能源业务板块构成",北京市国有资产监督管理委员会,北京市海淀区紫竹院路32号,北京市海淀区紫竹院路32号,零售业
19,603389.SH,亚振家居,亚振家居股份有限公司,江苏,南通市,2016-12-15,2000-08-15,高伟,"26,275.20",921,"产品研发设计、生产制造、销售服务及家居文化研究为一体,主要从事中高端海派艺术家具产品的研发、生产与销售","高伟,户美云,高银楠",江苏省如东县曹埠镇亚振桥,江苏省如东县曹埠镇亚振桥,家具制造业
20,600984.SH,建设机械,陕西建设机械股份有限公司,陕西,西安市,2004-07-07,2001-12-08,杨宏军,"125,704.39",3871,工程机械制造和工程机械租赁,陕西煤业化工集团有限责任公司,西安市经济技术开发区泾渭新城泾朴路11号,西安市金花北路418号,租赁业
21,601117.SH,中国化学,中国化学工程股份有限公司,北京,北京市,2010-01-07,2008-09-23,莫鼎革,"610,947.06",48833,建筑工程(化学工程、基础设施、环境治理)、实业和现代服务业业务,国务院国有资产监督管理委员会,北京市东城区东直门内大街2号,北京市东城区东直门内大街2号,土木工程建筑业
22,600587.SH,新华医疗,山东新华医疗器械股份有限公司,山东,淄博市,2002-09-27,1993-04-18,王玉全,"46,668.20",8209,"医疗器械和制药装备两大核心业务,以医疗商贸、医疗服务为延伸的“2+2”的业务结构",山东省人民政府国有资产监督管理委员会,山东省淄博市高新技术产业开发区新华医疗科技园,山东省淄博市高新技术产业开发区新华医疗科技园,专用设备制造业
23,603598.SH,引力传媒,引力传媒股份有限公司,北京,北京市,2015-05-27,2005-08-10,罗衍记,"26,786.29",697,品牌营销、效果营销、社交营销、电商营销与运营服务和数据咨询服务,"罗衍记,蒋丽",北京市海淀区阜外亮甲店1号中水园乙3号楼105室,北京市朝阳区建国路甲92号世茂大厦12层,商务服务业
24,600425.SH,青松建化,新疆青松建材化工(集团)股份有限公司,新疆,阿拉尔市,2003-07-24,2000-11-17,郑术建,"160,470.37",3206,水泥、商品砼、加气砼、烧碱、PVC、CPVC和尿素的生产与销售。,新疆生产建设兵团第一师国有资产监督管理委员会,新疆阿拉尔市滨河大道东1395号,新疆乌鲁木齐市米东区米东南路恒联巷237号,非金属矿物制品业
25,600545.SH,卓郎智能,卓郎智能技术股份有限公司,新疆,乌鲁木齐市,2003-12-03,1993-02-25,潘雪平,"178,791.22",3176,纺纱事业部、技术事业部和数据与服务事业部,"江苏金昇实业股份有限公司,潘雪平",新疆乌鲁木齐经济技术开发区维泰南路1号维泰大厦1505室,新疆乌鲁木齐市头屯河区白鸟湖1号,专用设备制造业
26,601800.SH,中国交建,中国交通建设股份有限公司,北京,北京市,2012-03-09,2006-10-08,王彤宙,"1,627,861.14",144813,基建建设、基建设计和疏浚业务,国务院国有资产监督管理委员会,中国北京市西城区德胜门外大街85号,中国北京市西城区德胜门外大街85号,土木工程建筑业
27,600089.SH,特变电工,特变电工股份有限公司,新疆,昌吉回族自治州,1997-06-18,1993-02-26,张新,"505,279.25",27583,包括输变电业务、新能源业务、能源业务及新材料业务,张新,新疆维吾尔自治区昌吉市北京南路189号,新疆维吾尔自治区昌吉市北京南路189号,电气机械和器材制造业
